Algorithm,IOU,DICE COEFFICIENT,PRECISION,RECALL
CellposeSAM,0.7076461838875716,0.8254498116251938,0.9530610587583443,0.730844023995659
Stardist,0.6998361916160272,0.8234056470260496,0.9548184076025295,0.7239113283962941
