Algorithm,IOU,DICE COEFFICIENT,PRECISION,RECALL,RELATIVE ERROR
CellposeSAM,0.8793210843663807,0.9351114687745536,0.9220828576228676,0.9498337711891719,0.5461760461760462
Cyto3 Cellpose,0.8372734240205223,0.9111617238664377,0.8388042571094061,0.9978532895878636,0.29735680985680985
Fine-tuned Cellpose,0.9181601126238937,0.9572296108561917,0.9315484635907569,0.9847523511133095,0.18144078144078143
Stardist,0.4861090954831798,0.650936947593213,0.8933651806371007,0.5152691507769913,9.553478465978465
