Algorithm, IOU               , DICE COEFFICIENT  , PRECISION         , RECALL            , RELATIVE ERROR
        0, 0.8372734240205223, 0.9111617238664377, 0.8388042571094061, 0.9978532895878636, 0.29735680985680985
       10, 0.8961983336159527, 0.9451083495587667, 0.9006417565232622, 0.9945924338275348, 0.24477744477744476
       20, 0.9094222106867832, 0.9524164331598861, 0.9171283989771919, 0.990947094606246 , 0.22263292263292264
       30, 0.9129147276444499, 0.9543607905899502, 0.9235007807559004, 0.9877502917368474, 0.19226329226329228
       40, 0.914799513971759 , 0.9553972013654218, 0.9263151504494723, 0.9867531579259182, 0.18576978576978576
       50, 0.9177114630946968, 0.9569842176573151, 0.930624489389163 , 0.9852650747667911, 0.18144078144078143
       60, 0.9181601126238937, 0.9572296108561917, 0.9315484635907569, 0.9847523511133095, 0.18144078144078143
